flow_id	policy_kind	role_kind	role_id
SC-01	comparable	steady_state	golden
SC-01	comparable	steady_state	target
SC-02	comparable	steady_state	golden
SC-02	comparable	steady_state	target
SC-03	comparable	steady_state	golden
SC-03	comparable	steady_state	target
SC-04	comparable	steady_state	golden
SC-04	comparable	steady_state	target
SC-05	comparable	steady_state	golden
SC-05	comparable	steady_state	target
SC-06	comparable	steady_state	golden
SC-06	comparable	steady_state	target
SC-07	comparable	steady_state	golden
SC-07	comparable	steady_state	target
SC-08	comparable	steady_state	golden
SC-08	comparable	steady_state	target
SC-09	comparable	steady_state	golden
SC-09	comparable	steady_state	target
SC-10	comparable	steady_state	golden
SC-10	comparable	steady_state	target
SC-11	comparable	steady_state	golden
SC-11	comparable	steady_state	target
SC-12	comparable	steady_state	golden
SC-12	comparable	steady_state	target
SC-13	comparable	steady_state	golden
SC-13	comparable	steady_state	target
SC-14	comparable	steady_state	golden
SC-14	comparable	steady_state	target
SP-01	comparable	steady_state	golden
SP-01	comparable	steady_state	target
SP-02	comparable	steady_state	golden
SP-02	comparable	steady_state	target
SP-03	comparable	steady_state	golden
SP-03	comparable	steady_state	target
SP-04	comparable	steady_state	golden
SP-04	comparable	steady_state	target
SP-05	comparable	steady_state	golden
SP-05	comparable	steady_state	target
SS-01	comparable	steady_state	golden
SS-01	comparable	steady_state	target
SS-02	comparable	steady_state	golden
SS-02	comparable	steady_state	target
SS-03	comparable	steady_state	golden
SS-03	comparable	steady_state	target
SS-04	comparable	steady_state	golden
SS-04	comparable	steady_state	target
SS-05	comparable	steady_state	golden
SS-05	comparable	steady_state	target
SS-06	comparable	steady_state	golden
SS-06	comparable	steady_state	target
SS-07	comparable	steady_state	golden
SS-07	comparable	steady_state	target
SS-08	comparable	steady_state	golden
SS-08	comparable	steady_state	target
SS-09	comparable	steady_state	golden
SS-09	comparable	steady_state	target
SS-10	target_transition	transition	coexistence->native->coexistence
MS-01	comparable	steady_state	golden
MS-01	comparable	steady_state	target
MS-02	comparable	steady_state	golden
MS-02	comparable	steady_state	target
MS-03	comparable	steady_state	golden
MS-03	comparable	steady_state	target
MS-04	comparable	steady_state	golden
MS-04	comparable	steady_state	target
MS-05	comparable	steady_state	golden
MS-05	comparable	steady_state	target
MS-06	comparable	steady_state	golden
MS-06	comparable	steady_state	target
MS-07	comparable	steady_state	golden
MS-07	comparable	steady_state	target
MO-01	comparable	steady_state	golden
MO-01	comparable	steady_state	target
MO-02	comparable	steady_state	golden
MO-02	comparable	steady_state	target
MO-03	comparable	steady_state	golden
MO-03	comparable	steady_state	target
MO-04	comparable	steady_state	golden
MO-04	comparable	steady_state	target
MO-05	comparable	steady_state	golden
MO-05	comparable	steady_state	target
MO-06	comparable	steady_state	golden
MO-06	comparable	steady_state	target
MA-01	comparable	steady_state	golden
MA-01	comparable	steady_state	target
MA-02	comparable	steady_state	golden
MA-02	comparable	steady_state	target
MA-03	comparable	steady_state	golden
MA-03	comparable	steady_state	target
MA-04	comparable	steady_state	golden
MA-04	comparable	steady_state	target
MA-05	comparable	steady_state	golden
MA-05	comparable	steady_state	target
MA-06	comparable	steady_state	golden
MA-06	comparable	steady_state	target
MA-07	comparable	steady_state	golden
MA-07	comparable	steady_state	target
MA-08	comparable	steady_state	golden
MA-08	comparable	steady_state	target
MA-09	comparable	steady_state	golden
MA-09	comparable	steady_state	target
MA-10	comparable	steady_state	golden
MA-10	comparable	steady_state	target
MA-11	coexistence_comparison	steady_state	golden
MA-11	coexistence_comparison	steady_state	coexistence
MD-01	comparable	steady_state	golden
MD-01	comparable	steady_state	target
MD-02	comparable	steady_state	golden
MD-02	comparable	steady_state	target
MD-03	comparable	steady_state	golden
MD-03	comparable	steady_state	target
MD-04	comparable	steady_state	golden
MD-04	comparable	steady_state	target
ON-01	comparable	steady_state	golden
ON-01	comparable	steady_state	target
ON-02	comparable	steady_state	golden
ON-02	comparable	steady_state	target
ON-03	comparable	steady_state	golden
ON-03	comparable	steady_state	target
ON-04	coexistence_comparison	steady_state	golden
ON-04	coexistence_comparison	steady_state	coexistence
MC-01	comparable	steady_state	golden
MC-01	comparable	steady_state	target
MC-02	comparable	steady_state	golden
MC-02	comparable	steady_state	target
MC-03	comparable	steady_state	golden
MC-03	comparable	steady_state	target
MC-04	comparable	steady_state	golden
MC-04	comparable	steady_state	target
MC-05	comparable	steady_state	golden
MC-05	comparable	steady_state	target
MC-06	comparable	steady_state	golden
MC-06	comparable	steady_state	target
MCS-01	comparable	steady_state	golden
MCS-01	comparable	steady_state	target
MCS-02	comparable	steady_state	golden
MCS-02	comparable	steady_state	target
EC-01	comparable	steady_state	golden
EC-01	comparable	steady_state	target
EC-02	comparable	steady_state	golden
EC-02	comparable	steady_state	target
EC-03	comparable	steady_state	golden
EC-03	comparable	steady_state	target
MU-01	comparable	steady_state	golden
MU-01	comparable	steady_state	target
MU-02	comparable	steady_state	golden
MU-02	comparable	steady_state	target
MU-03	comparable	steady_state	golden
MU-03	comparable	steady_state	target
MU-04	comparable	steady_state	golden
MU-04	comparable	steady_state	target
